Element,Z,Vl,Pc,Pc18,Pr,Uo,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Plz,M,Mel,Boi,de,Zeff,Fus,Vap,Cap
K,19,1,1,1,4,1,0.82,418.8,3052,-0.4514,-2.3189,-0.404,2.2049,0.9378,0.9378,1.96,2.2049,2.03,290.6,39.0983,336.53,1032,0.862,2.26,2.32,77.5,0.757
Ca,20,2,2,2,4,0,1,589.8,1145.4,1.2046,-3.7676,-1.9349,1.7988,2.0269,0.695,1.74,1.7988,1.76,160.77,40.078,1115,1757,1.55,2.68,8.54,150,0.647
Sc,21,3,3,3,4,9,1.36,633.1,1235,0.8386,-3.2357,-0.1844,1.6506,1.623,0.5809,1.44,0.5809,1.7,107,44.955908,1814,3109,2.985,2.77,14.1,314.2,0.568
Ti,22,4,4,4,4,8,1.54,658.8,1309.8,0.2887,-4.2515,-0.1659,1.5455,1.5379,0.5192,1.36,0.5192,1.6,92,47.867,1941,3560,4.506,2.83,15.481,429,0.523
V,23,5,5,5,4,7,1.63,650.9,1414,-0.2221,-4.4742,0.1316,1.5,1.4672,0.4753,1.25,0.4753,1.53,81,50.9415,2183,3680,6,2.82,17.573,458.6,0.489
Cr,24,6,6,6,4,6,1.66,652.9,1590.6,-0.7587,-4.4654,0.49,1.4266,1.4063,0.4392,1.27,0.4392,1.39,78,51.9961,2180,2944,7.19,2.82,15.31,348.8,0.449
Mn,25,7,7,7,4,5,1.55,717.3,1509,-1.019,-4.4043,1.8306,1.3699,1.2646,0.4082,1.39,0.4082,1.39,65,54.938045,1519,2334,7.21,2.96,14.644,219.7,0.479
Fe,26,8,8,8,4,4,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,58,55.845,1811,3134,7.874,3.04,14.9,351.04,0.449
Co,27,9,9,9,4,3,1.88,760.4,1648,-1.3745,-4.4102,0.2412,1.2965,1.6081,0.359,1.26,0.359,1.26,53,58.933195,1768,3200,8.9,3.04,15.23,382.4,0.421
Ni,28,10,10,10,4,2,1.91,737.1,1753,-1.2886,-4.3916,0.5082,1.2589,1.57,0.3377,1.21,0.3377,1.24,48,58.6934,1728,3186,8.908,3,17.57,371.8,0.444
Cu,29,11,1,11,4,1,1.9,745.5,1957.9,-1.4328,-4.6082,1.3569,1.2022,1.2492,0.319,1.38,1.2022,1.32,53.44,63.546,1357.77,2835,8.96,3.02,13.012,304.6,0.385
Zn,30,12,2,12,4,0,1.65,906.4,1733.3,1.9968,-5.9772,-0.7858,1.1068,1.6435,0.2997,1.31,1.1068,1.22,38.666,65.38,692.68,1180,7.14,3.32,7.32,115.5,0.388
Ga,31,13,3,13,4,5,1.81,578.8,1979.3,0.1264,-2.5791,3.273,1.0027,1.344,0.2823,1.26,1.344,1.22,51.4,69.723,302.9146,2673,5.91,2.66,5.59,256.1,0.371
Ge,32,14,4,14,4,4,2.01,762,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,39.43,72.63,1211.4,3106,5.323,3.05,34.7,334.3,0.32
As,33,15,5,15,4,3,2.18,947,1798,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,29.8,74.921595,1087.15,887.15,5.727,3.4,24.44,34.76,0.329
Se,34,16,6,16,4,2,2.55,941,2045,-2.5344,-6.5105,4.7429,0.7997,0.9578,0.2397,1.16,0.9578,1.2,26.24,78.971,494,958,4.81,3.39,6.69,26.3,0.321
